business_name,telephone,email,category,website,street,locality,region,zipcode
"The Creative Mobility Group, LLC",(800) 539-7237,info@creativemobilitygroup.com,"Scooters Mobility Aid Dealers,Wheelchair Lifts & Ramps,Medical Equipment & Supplies",http://www.creativemobilitygroup.com,32217 Stephenson Hwy,Madison Heights,MI,48071
Ces Limited,(313) 887-0832,,"Computer Software Publishers & Developers,Computer Software & Services",https://www.cesltd.com,100 W Kirby St,Detroit,MI,48202
Global Computer Architect Inc,(813) 977-2800,,Data Processing Service,,13099 N Telecom Pkwy,Temple Terrace,FL,33637
Detroit Security Guards - CLOSED,(888) 407-6374,,Security Guard & Patrol Service,http://www.detroitsecurityconcepts.com,,Detroit,MI,48202
Ok 2 Playy - CLOSED,(313) 345-5867,,Video Games,,16944 Wildemere St,Detroit,MI,48221
Above Standard Janitorial Services,(313) 331-3077,,Janitorial Service,,590 N Eastlawn Ct,Detroit,MI,48215
Gayanga Co.,(855) 688-3366,,Construction Engineers,https://www.gayangaco.com,1420 Washington Blvd,Detroit,MI,48226
Gayanga Co.,(855) 688-3366,,Construction Engineers,https://www.gayangaco.com,1420 Washington Blvd,Detroit,MI,48226
White Construction,(313) 872-6700,white@whitecon.com,General Contractors,http://www.whitecon.com,1120 W Baltimore St,Detroit,MI,48202
Electric Motor & Contracting Co,(313) 871-3775,info@emc-co.com,"Electric Motors,Electric Equipment & Supplies-Wholesale & Manufacturers,Electric Equipment Repair & Service",http://emc-co.com,1133 W Baltimore St,Detroit,MI,48202
Edward Jones - Financial Advisor:  Nicholas J Clements,(734) 288-8963,,"Investment Advisory Service,Financial Services,Annuities & Retirement Insurance Plans",http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnwBded-Q33nR8RJKett5oUkVaccSrvGLCfFqNOW962sfMwCiYeEhhDxsbZW05IUu76odpVHez_dZw1Py1clj1DbjILfwj6v5HJdrEKdMJpF6sOcDBYaVhnS_5GNrwTBxk1uAZT432717zhXdppVxu0JHU2VCfqptZL1CexTXBHbyaEVLs6KhEapePfElbzWPbb6WzO5_WCwup-fbJ3wSYKKhu8YdiWu0RiexvHf9dt4VtlGMiNSSeC2NvJYd9F0yrLSuhq6w-UkmhQpwpzn2bRpQXJ1a67AVaKs1Zsd6iKXbkoWmrZPJntJJ3oxIvHJMF&reference_id=0&publisher=yellowpages&placement=ypwebsitesrpr&action_target=listing_website,4061 S Canton Center Rd,Canton,MI,48188
Hamilton Fuel Stop Inc,(313) 883-6145,,Oils-Fuel-Wholesale & Manufacturers,,12803 Hamilton Ave,Highland Park,MI,48203
"360 Auto Repair, Oil, & Wash, LLC",(313) 836-1381,,"Auto Repair & Service,Window Tinting,Auto Oil & Lube",,13915 Grand River Ave,Detroit,MI,48227
"360 Auto Repair, Oil, & Wash, LLC",(313) 836-1381,,"Auto Repair & Service,Window Tinting,Auto Oil & Lube",,13915 Grand River Ave,Detroit,MI,48227
Ascension Michigan Physical Therapy-Macomb Recreation Center,(586) 868-9040,,,https://healthcare.ascension.org/Locations/Michigan/Macomb-St-John-Shelby-Physical-Therapy,17900 23 Mile Rd,Macomb,MI,48044
Universal Auto Electric Co,(313) 835-2477,team@latofonts.com,,http://www.universalautoelectric.com,14936 Joy Rd,Detroit,MI,48228
Border City,(313) 782-4611,,Cargo & Freight Containers,http://bordercityusa.com,8350 Saint Aubin St,Detroit,MI,48211
Jewell & Jewell Attorneys - CLOSED,,,"Attorneys,Criminal Law Attorneys,Family Law Attorneys",,21500 Harper Ave,Saint Clair Shores,MI,48080
Jewell & Jewell Attorneys - CLOSED,,,"Attorneys,Criminal Law Attorneys,Family Law Attorneys",,21500 Harper Ave,Saint Clair Shores,MI,48080
Kevin Richard Tomasko Jr.,(313) 916-2600,,,,2799 W Grand Blvd,Detroit,MI,48202
"One Stop Property Maintenance, LLC",(313) 957-0070,info@ospmain.com,Property Maintenance,http://www.ospmain.com,,,,
Franks Creative Catering & Eve,(313) 262-7667,,"Caterers,Bartending Service",,625 Griswold St,Detroit,MI,48226
Clark Graphics,(586) 772-4900,,"Graphic Designers,Printing Services,Printing Services-Commercial",http://www.clarkgraphic.com,21914 Schmeman Ave,Warren,MI,48089
The Coffee Shop and Deli,(313) 638-1474,,Coffee & Tea,,3044 W Grand Blvd,Detroit,MI,48202
Project Compassion,(313) 897-7480,linpin@linpin.com,"Social Service Organizations,Community Organizations,Religious Organizations",http://www.projectcompassion.net,3307 29th St,Detroit,MI,48210
Dugoods Apparel,(313) 736-3131,,"Women's Clothing Wholesalers & Manufacturers,Men's Clothing Wholesalers & Manufacturers",,15442 Log Cabin St,Detroit,MI,48238
Green Living Science,(313) 871-4000,,Recycling Centers,http://www.greenlivingscience.org,1331 Holden St,Detroit,MI,48202
Deadline Detroit,(313) 964-9222,,,,615 Griswold St,Detroit,MI,48226
Deadline Detroit,(313) 964-9222,,,,615 Griswold St,Detroit,MI,48226
Shhs,(248) 481-9417,,Home Health Services,,2550 S Telegraph Rd,Bloomfield Hills,MI,48302
The Peacock Room,(313) 559-5500,,"Tourist Information & Attractions,Places Of Interest",,15 E Kirby St,Detroit,MI,48202
The Peacock Room,(313) 559-5500,,"Tourist Information & Attractions,Places Of Interest",,15 E Kirby St,Detroit,MI,48202
Virtual Right Hands,(248) 842-4848,wixofday@wix.com,,http://www.virtualrighthands.com,Po Box 430990,Pontiac,MI,48343
Virtual Right Hands,(248) 842-4848,wixofday@wix.com,,http://www.virtualrighthands.com,Po Box 430990,Pontiac,MI,48343
Wasabi Korean and Japanese Cuisine,(313) 638-1272,,"Japanese Restaurants,Korean Restaurants,Sushi Bars",http://wasabidetroit.com,15 E Kirby St,Detroit,MI,48202
Tellis & Company,(313) 873-3812,,"Financial Planning Consultants,Accountants-Certified Public,Accounting Services",http://www.tellisandcompanycpas.com,15 E Kirby St Ste 106,Detroit,MI,48202
Juvenile Law Group PLLC,(313) 833-6644,,"Juvenile Law Attorneys,Attorneys",http://www.juvenilelawdetroit.com/about.html,1025 E Forest Ave,Detroit,MI,48207
